Name,Cuisines,Area,IsHomeDelivery,isTakeaway,isIndoorSeating,isVegOnly,Dinner Ratings,Dinner Reviews,Delivery Ratings,Delivery Reviews,AverageCost,cui_North_Indian,cui_Beverages,cui_Chinese,cui_Desserts,cui_Fast_Food,cui_Biryani,cui_South_Indian,cui_Street_Food,cui_Shake,cui_Mughlai,cui_Ice_Cream,cui_Bakery,cui_Pizza,cui_Burger,cui_Rolls,cui_Seafood,cui_Kebab,cui_Sandwich,cui_Momos,cui_Andhra,CuisineListStr
Five Star Chicken,"Wraps, Burger, Rolls, Fast Food, Street Food",KR Puram,1,1,0,0,,0,3.9,609,100,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,Wraps|Burger|Rolls|Fast Food|Street Food
Kritunga Restaurant,"Andhra, Biryani, North Indian",Marathahalli,1,1,1,0,4.0,1699,3.8,19000,800,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Andhra|Biryani|North Indian
Donne Biriyani House,"Biryani, Fast Food",Shanti Nagar,1,1,1,0,3.4,7,3.9,925,400,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Biryani|Fast Food
Kabab Magic,"North Indian, Kebab, Hyderabadi, Beverages",Richmond Road,1,1,1,0,3.8,139,3.3,2743,400,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,North Indian|Kebab|Hyderabadi|Beverages
Polar Bear,"Ice Cream, Beverages, Shake",Thippasandra,1,1,1,0,3.7,43,4.3,970,350,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,Ice Cream|Beverages|Shake
Biriyani Zone,"Biryani, North Indian, Chinese, Mughlai, Kebab, Seafood, Ice Cream, Beverages",CV Raman Nagar,1,1,1,0,3.6,67,4.0,2559,800,1,1,1,0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,Biryani|North Indian|Chinese|Mughlai|Kebab|Seafood|Ice Cream|Beverages
Paradise Biryani,"Biryani, North Indian, Kebab",HSR,1,1,1,0,3.7,326,3.8,4583,700,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Biryani|North Indian|Kebab
Hyderabad Biryaani House,"Biryani, North Indian, Hyderabadi, Mughlai, Chinese",Old Airport Road,1,1,1,0,4.2,1416,4.0,25100,500,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Biryani|North Indian|Hyderabadi|Mughlai|Chinese
Anand Sweets And Savouries,"Mithai, Street Food, Desserts, Beverages",Old Airport Road,1,1,1,0,4.0,277,4.4,3068,300,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Mithai|Street Food|Desserts|Beverages
Subway,"Healthy Food, Fast Food, Sandwich, Salad, Beverages, Wraps",Indiranagar,1,1,1,0,2.0,311,3.6,1741,400,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Healthy Food|Fast Food|Sandwich|Salad|Beverages|Wraps
Sri Udupi Food Hub,"South Indian, North Indian, Chinese, Street Food, Ice Cream, Desserts, Shake, Beverages",Domlur,1,1,1,1,3.7,151,3.9,16200,800,1,1,1,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,South Indian|North Indian|Chinese|Street Food|Ice Cream|Desserts|Shake|Beverages
Corner House Ice Creams,"Desserts, Ice Cream, Beverages",Indiranagar,1,1,1,0,4.8,2408,4.5,16100,300,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Desserts|Ice Cream|Beverages
Behrouz Biryani,"Biryani, Mughlai",Indiranagar,1,0,0,0,,0,3.9,3663,350,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Biryani|Mughlai
MOJO Pizza - 2X Toppings,"Pizza, Fast Food, Desserts, Beverages",Indiranagar,1,1,0,0,,0,4.3,8486,250,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Pizza|Fast Food|Desserts|Beverages
EatFit,"Mithai, North Indian, Pizza, Burger, Fast Food, Street Food, Desserts, Beverages",Indiranagar,1,0,0,0,,0,4.0,76500,200,1,1,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,Mithai|North Indian|Pizza|Burger|Fast Food|Street Food|Desserts|Beverages
Amma's Pastries,Bakery,Indiranagar,1,1,0,0,,0,4.4,551,100,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Bakery
